PRICE_PER_NIGHT,TAX_AMOUNT,ACCOM_NAME_EN,ACCOM_TYPE_CODE,BOOKING_PROVIDER_NAME_EN,ROOM_TYPE_CODE,CITY_NAME_EN,REVIEW_SCORE_NAME_EN,STAR_RATING_CODE
9.6,7.2,Diyaralmashaer Al-Hadiyah Hotel,Hotel,AGODA.COM,Quadruple Room,Mecca,Very Good,1
9.8,7.35,Elaf Bakkah Hotel,Hotel,ELAF KINDA HOTEL,King Bed Room,Mecca,Very Good,4
9.8,7.35,Four Points by Sheraton Makkah Al Naseem,Hotel,BOOKING.COM,King Bed Room,Mecca,Very Good,4
9.8,7.35,Four Points by Sheraton Makkah Al Naseem,Hotel,AGODA.COM,Standard Room,Mecca,Very Good,4
9.8,7.35,Park Inn Makkah Al Naseem,Hotel,AGODA.COM,Standard Room,Mecca,Very Good,5
9.8,7.35,Four Points by Sheraton Makkah Al Naseem,Hotel,AGODA.COM,Superior Room,Mecca,Very Good,4
9.2,6.9,Elaf Bakkah Hotel,Hotel,ELAF KINDA HOTEL,Triple Room,Mecca,Very Good,4
9.4,7.05,Millennium Makkah Al Naseem,Hotel,SUPER.COM,Standard Room,Mecca,Very Good,5
9.4,7.05,Elaf Bakkah Hotel,Hotel,KAYAK,Triple Room,Mecca,Very Good,4
9.6,7.2,Diyaralmashaer Al-Hadiyah Hotel,Hotel,PRICELINE,Quadruple Room,Mecca,Very Good,1
9.8,7.35,Four Points by Sheraton Makkah Al Naseem,Hotel,EXPEDIA,Classic Room,Mecca,Very Good,4
9.8,7.35,Time Ruba Hotel & Suites,Hotel,KAYAK,Deluxe Room,Mecca,Very Good,4
9.8,7.35,Park Inn Makkah Al Naseem,Hotel,HOTELS.COM,Standard Room,Mecca,Very Good,5
9.8,7.35,Four Points by Sheraton Makkah Al Naseem,Hotel,PRICELINE,Superior Room,Mecca,Very Good,4
10,7.5,Time Ruba Hotel & Suites,Hotel,KAYAK,Deluxe Room,Mecca,Very Good,4
